solucion,job,operacion,maquina_asignada,costo,tiempo
9,3,4,5,5.00,60.00
9,3,5,3,23.00,21.00
9,3,6,5,28.00,20.00
9,4,1,6,16.00,81.00
9,4,2,4,23.00,13.00
9,4,3,3,21.00,18.00
9,4,4,2,27.00,17.00
9,4,5,6,29.00,47.00
9,4,6,6,34.00,40.00
9,5,1,2,22.00,24.00
9,5,2,3,24.00,16.00
9,5,3,2,18.00,18.00
9,5,4,6,14.00,77.00
9,5,5,2,31.00,71.00
9,5,6,5,22.00,83.00
9,6,1,2,13.00,82.00
9,6,2,5,5.00,12.00
9,6,3,3,28.00,22.00
9,6,4,5,26.00,40.00
9,6,5,4,47.00,19.00
9,6,6,6,47.00,70.00
9,7,1,3,12.00,18.00
9,7,2,1,11.00,25.00
9,7,3,6,16.00,18.00
9,7,4,3,10.00,38.00
9,7,5,2,5.00,47.00
9,7,6,2,30.00,14.00
9,8,1,5,43.00,34.00
9,8,2,4,14.00,97.00
9,8,3,4,7.00,17.00
9,8,4,4,37.00,35.00
9,8,5,5,16.00,51.00
9,8,6,4,35.00,17.00
9,9,1,4,48.00,45.00
9,9,2,3,19.00,24.00
9,9,3,5,19.00,65.00
9,9,4,5,37.00,17.00
9,9,5,4,19.00,10.00
9,9,6,6,7.00,53.00
9,10,1,4,44.00,60.00
9,10,2,4,10.00,20.00
9,10,3,5,10.00,28.00
9,10,4,3,35.00,12.00
9,10,5,5,33.00,80.00
9,10,6,5,16.00,25.00
10,1,1,1,5.00,75.00
10,1,2,5,22.00,57.00
10,1,3,6,13.00,23.00
10,1,4,6,11.00,181.00
10,1,5,4,6.00,59.00
10,1,6,1,5.00,90.00
10,2,1,3,13.00,16.00
10,2,2,2,22.00,36.00
10,2,3,6,14.00,64.00
10,2,4,4,7.00,22.00
10,2,5,6,7.00,40.00
10,2,6,1,23.00,19.00
10,3,1,4,20.00,28.00
10,3,2,5,9.00,93.00
10,3,3,1,12.00,47.00
10,3,4,5,5.00,60.00
10,3,5,3,23.00,21.00
10,3,6,3,15.00,58.00
10,4,1,6,16.00,81.00
10,4,2,6,15.00,62.00
10,4,3,3,21.00,18.00
10,4,4,2,27.00,17.00
10,4,5,2,9.00,162.00
10,4,6,5,13.00,135.00
10,5,1,2,22.00,24.00
10,5,2,4,18.00,32.00
10,5,3,2,18.00,18.00
10,5,4,6,14.00,77.00
10,5,5,2,31.00,71.00
10,5,6,4,5.00,135.00
10,6,1,2,13.00,82.00
10,6,2,5,5.00,12.00
10,6,3,3,28.00,22.00
10,6,4,2,18.00,52.00
10,6,5,6,17.00,63.00
10,6,6,4,32.00,87.00
10,7,1,3,12.00,18.00
10,7,2,1,11.00,25.00
10,7,3,1,11.00,40.00
10,7,4,5,5.00,68.00
10,7,5,2,5.00,47.00
10,7,6,4,15.00,50.00
10,8,1,2,6.00,127.00
10,8,2,4,14.00,97.00
10,8,3,4,7.00,17.00
10,8,4,2,16.00,148.00
10,8,5,2,8.00,65.00
10,8,6,6,23.00,58.00
10,9,1,1,10.00,125.00
10,9,2,3,19.00,24.00
10,9,3,5,19.00,65.00
10,9,4,3,17.00,53.00
10,9,5,4,19.00,10.00
10,9,6,6,7.00,53.00
10,10,1,2,14.00,130.00
10,10,2,5,8.00,34.00
10,10,3,5,10.00,28.00
10,10,4,6,18.00,41.00
10,10,5,3,9.00,124.00
10,10,6,5,16.00,25.00
11,1,1,1,5.00,75.00
11,1,2,5,22.00,57.00
11,1,3,6,13.00,23.00
11,1,4,6,11.00,181.00
11,1,5,4,6.00,59.00
11,1,6,1,5.00,90.00
11,2,1,3,13.00,16.00
11,2,2,2,22.00,36.00
11,2,3,6,14.00,64.00
11,2,4,4,7.00,22.00
11,2,5,6,7.00,40.00
11,2,6,2,6.00,175.00
11,3,1,4,20.00,28.00
11,3,2,5,9.00,93.00
11,3,3,1,12.00,47.00
11,3,4,5,5.00,60.00
11,3,5,3,23.00,21.00
11,3,6,3,15.00,58.00
