solucion,job,operacion,maquina_asignada,costo,tiempo
38,4,3,1,15.00,16.00
39,1,1,1,29.00,119.00
39,1,2,2,30.00,70.00
39,1,3,3,32.00,44.00
39,2,1,1,18.00,95.00
39,2,2,3,20.00,94.00
39,2,3,1,33.00,13.00
39,3,1,2,7.00,162.00
39,3,2,3,21.00,28.00
39,3,3,1,28.00,90.00
39,4,1,1,16.00,30.00
39,4,2,1,50.00,45.00
39,4,3,1,15.00,16.00
40,1,1,1,29.00,119.00
40,1,2,2,30.00,70.00
40,1,3,1,9.00,97.00
40,2,1,1,18.00,95.00
40,2,2,3,20.00,94.00
40,2,3,3,12.00,53.00
40,3,1,2,7.00,162.00
40,3,2,3,21.00,28.00
40,3,3,3,8.00,178.00
40,4,1,2,9.00,39.00
40,4,2,2,16.00,161.00
40,4,3,1,15.00,16.00
41,1,1,1,29.00,119.00
41,1,2,2,30.00,70.00
41,1,3,1,9.00,97.00
41,2,1,1,18.00,95.00
41,2,2,3,20.00,94.00
41,2,3,3,12.00,53.00
41,3,1,2,7.00,162.00
41,3,2,3,21.00,28.00
41,3,3,1,28.00,90.00
41,4,1,1,16.00,30.00
41,4,2,3,38.00,94.00
41,4,3,1,15.00,16.00
42,1,1,1,29.00,119.00
42,1,2,2,30.00,70.00
42,1,3,3,32.00,44.00
42,2,1,1,18.00,95.00
42,2,2,3,20.00,94.00
42,2,3,3,12.00,53.00
42,3,1,2,7.00,162.00
42,3,2,3,21.00,28.00
42,3,3,1,28.00,90.00
42,4,1,1,16.00,30.00
42,4,2,1,50.00,45.00
42,4,3,1,15.00,16.00
43,1,1,1,29.00,119.00
43,1,2,2,30.00,70.00
43,1,3,3,32.00,44.00
43,2,1,1,18.00,95.00
43,2,2,3,20.00,94.00
43,2,3,3,12.00,53.00
43,3,1,2,7.00,162.00
43,3,2,3,21.00,28.00
43,3,3,2,40.00,78.00
43,4,1,2,9.00,39.00
43,4,2,1,50.00,45.00
43,4,3,1,15.00,16.00
44,1,1,2,20.00,173.00
44,1,2,2,30.00,70.00
44,1,3,1,9.00,97.00
44,2,1,1,18.00,95.00
44,2,2,3,20.00,94.00
44,2,3,3,12.00,53.00
44,3,1,1,5.00,155.00
44,3,2,3,21.00,28.00
44,3,3,1,28.00,90.00
44,4,1,1,16.00,30.00
44,4,2,1,50.00,45.00
44,4,3,1,15.00,16.00
45,1,1,1,29.00,119.00
45,1,2,2,30.00,70.00
45,1,3,1,9.00,97.00
45,2,1,1,18.00,95.00
45,2,2,3,20.00,94.00
45,2,3,1,33.00,13.00
45,3,1,1,5.00,155.00
45,3,2,3,21.00,28.00
45,3,3,2,40.00,78.00
45,4,1,1,16.00,30.00
45,4,2,1,50.00,45.00
45,4,3,1,15.00,16.00
46,1,1,1,29.00,119.00
46,1,2,2,30.00,70.00
46,1,3,3,32.00,44.00
46,2,1,1,18.00,95.00
46,2,2,3,20.00,94.00
46,2,3,1,33.00,13.00
46,3,1,3,43.00,148.00
46,3,2,1,43.00,14.00
46,3,3,2,40.00,78.00
46,4,1,1,16.00,30.00
46,4,2,1,50.00,45.00
46,4,3,1,15.00,16.00
47,1,1,2,20.00,173.00
47,1,2,3,20.00,186.00
47,1,3,1,9.00,97.00
47,2,1,1,18.00,95.00
