Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance
0.920000,1000,4000,0.9,0.01,22303.00,145503.00,0.010691
0.920000,1000,4000,0.9,0.01,24262.00,111162.00,0.006181
0.920000,1000,4000,0.9,0.01,18329.00,211893.00,0.005929
0.920000,1000,4000,0.9,0.01,19818.00,188690.00,0.003725
0.920000,1000,4000,0.9,0.01,23060.00,130012.00,0.017192
0.920000,1000,4000,0.9,0.01,54806.00,52923.00,0.021679
0.920000,1000,4000,0.9,0.01,22818.00,136203.00,0.015314
0.920000,1000,4000,0.9,0.01,40047.00,65482.00,0.013558
0.920000,1000,4000,0.9,0.01,15563.00,249659.00,0.010087
0.920000,1000,4000,0.9,0.01,64045.00,44330.00,0.014586
0.920000,1000,4000,0.9,0.01,30708.00,73870.00,0.003461
0.920000,1000,4000,0.9,0.01,19970.00,182074.00,0.023548
0.920000,1000,4000,0.9,0.01,19919.00,186948.00,0.007558
0.920000,1000,4000,0.9,0.01,24447.00,110741.00,0.007792
0.920000,1000,4000,0.9,0.01,20163.00,176327.00,0.021858
0.920000,1000,4000,0.9,0.01,40769.00,64955.00,0.008871
0.920000,1000,4000,0.9,0.01,17386.00,225957.00,0.011448
0.920000,1000,4000,0.9,0.01,57542.00,50549.00,0.005854
0.920000,1000,4000,0.9,0.01,17815.00,217294.00,0.012568
0.920000,1000,4000,0.9,0.01,55758.00,52815.00,0.010982
0.920000,1000,4000,0.9,0.01,59018.00,47817.00,0.026577
0.920000,1000,4000,0.9,0.01,24537.00,108367.00,0.002701
0.920000,1000,4000,0.9,0.01,41391.00,64596.00,0.012150
0.920000,1000,4000,0.9,0.01,67348.00,41719.00,0.003298
0.920000,1000,4000,0.9,0.01,60959.00,47805.00,0.019203
0.920000,1000,4000,0.9,0.01,45223.00,61498.00,0.013457
0.920000,1000,4000,0.9,0.01,20406.00,174482.00,0.008844
0.920000,1000,4000,0.9,0.01,18209.00,212414.00,0.008394
0.920000,1000,4000,0.9,0.01,25455.00,85649.00,0.020924
0.920000,1000,4000,0.9,0.01,16962.00,231130.00,0.015450
0.920000,1000,4000,0.9,0.01,20741.00,168739.00,0.019902
0.920000,1000,4000,0.9,0.01,24179.00,112296.00,0.010387
0.920000,1000,4000,0.9,0.01,66781.00,42345.00,0.003463
0.920000,1000,4000,0.9,0.01,67167.00,41885.00,0.005215
0.920000,1000,4000,0.9,0.01,21587.00,155615.00,0.004933
0.920000,1000,4000,0.9,0.01,25448.00,92523.00,0.017311
0.920000,1000,4000,0.9,0.01,19840.00,188348.00,0.005025
0.920000,1000,4000,0.9,0.01,18855.00,200955.00,0.010389
0.920000,1000,4000,0.9,0.01,16126.00,238781.00,0.021214
0.920000,1000,4000,0.9,0.01,50452.00,56825.00,0.007624
0.920000,1000,4000,0.9,0.01,66098.00,42763.00,0.009640
0.920000,1000,4000,0.9,0.01,55983.00,52355.00,0.007770
0.920000,1000,4000,0.9,0.01,21313.00,162263.00,0.009345
0.920000,1000,4000,0.9,0.01,21371.00,159782.00,0.015294
0.920000,1000,4000,0.9,0.01,19087.00,197205.00,0.009579
0.920000,1000,4000,0.9,0.01,61452.00,47298.00,0.006414
0.920000,1000,4000,0.9,0.01,19184.00,196743.00,0.005465
0.920000,1000,4000,0.9,0.01,23796.00,115301.00,0.022395
0.920000,1000,4000,0.9,0.01,15019.00,254042.00,100000000000000.000000
0.920000,1000,4000,0.9,0.01,21112.00,162731.00,0.006443
0.920000,1000,4000,0.9,0.01,53238.00,53921.00,0.007666
0.920000,1000,4000,0.9,0.01,43318.00,62392.00,0.015350
0.920000,1000,4000,0.9,0.01,22060.00,149332.00,0.007598
0.920000,1000,4000,0.9,0.01,52018.00,54940.00,0.023566
